Channel,Theme,Designation
Leisure,Bashes ,Anniversary
Leisure,Bashes ,Baby Shower
Leisure,Bashes ,Bachelor Party
Leisure,Bashes ,Baptism
Leisure,Bashes ,Bar Mitzvah
Leisure,Bashes ,Birthday
Leisure,Bashes ,Bridal Shower
Leisure,Bashes ,Christening
Leisure,Bashes ,Christmas Party
Leisure,Bashes ,Graduation
Leisure,Bashes ,Home Coming
Leisure,Bashes ,House Warming
Leisure,Bashes ,New Years Eve Party 
Leisure,Bashes ,Opening Night
Leisure,Bashes ,Premier Night
Leisure,Bashes ,Reunion
Leisure,Bashes ,Tailgate Party
Leisure,Concerts ,Alternative Music
Leisure,Concerts ,Blues
Leisure,Concerts ,Children's Music
Leisure,Concerts ,Christian & Gospel
Leisure,Concerts ,Classical
Leisure,Concerts ,Stageshow Comedy
Leisure,Concerts ,Country
Leisure,Concerts ,Dance
Leisure,Concerts ,Electronic
Leisure,Concerts ,Hip-Hop/Rap
Leisure,Concerts ,Indie Spotlight
Leisure,Concerts ,Jazz
Leisure,Concerts ,Latino
Leisure,Concerts ,Pop
Leisure,Concerts ,R&B/Soul
Leisure,Concerts ,Reggae
Leisure,Concerts ,Rock
Leisure,Concerts ,World Music
Leisure,Exhibitions  ,Collection (museum)
Leisure,Exhibitions  ,Exhibit
Leisure,Exhibitions  ,Expo
Leisure,Exhibitions  ,Funfair
Leisure,Exhibitions  ,Horse show
Leisure,Exhibitions  ,Science fair
Leisure,Exhibitions  ,Solo show (art exhibition)
Leisure,Exhibitions  ,State fair
Leisure,Exhibitions  ,Trade fair
Leisure,Exhibitions  ,World's Fair
Leisure,Exhibitions  ,Runway Show
Leisure,Festivals  ,Arts & Crafts
Leisure,Festivals  ,Carnival
Leisure,Festivals  ,Celebration
Leisure,Festivals  ,Children
Leisure,Festivals  ,Cities
Leisure,Festivals  ,Fest
Leisure,Festivals  ,Film
Leisure,Festivals  ,Folk life
Leisure,Festivals  ,Food & Beverage
Leisure,Festivals  ,Heritage & Religious
Leisure,Festivals  ,Holiday
Leisure,Festivals  ,Motorsports
Leisure,Festivals  ,Music
Leisure,Festivals  ,States
Leisure,Festivals  ,Theater
Leisure,Fundraisers  ,Abortion & Family Planning
Leisure,Fundraisers  ,African-American
Leisure,Fundraisers  ,Aids
Leisure,Fundraisers  ,American Indian
Leisure,Fundraisers  ,Animal Protection
Leisure,Fundraisers  ,Asia & Asian-American
Leisure,Fundraisers  ,Blind & Visually-Impaired
Leisure,Fundraisers  ,Cancer
Leisure,Fundraisers  ,Child Protection
Leisure,Fundraisers  ,Child Sponsorship
Leisure,Fundraisers  ,Civil Rights & Advocacy
Leisure,Fundraisers  ,Consumer Protection And Legal Aid
Leisure,Fundraisers  ,Crime Prevention
Leisure,Fundraisers  ,Disabled
Leisure,Fundraisers  ,Drug & Alcohol Abuse
Leisure,Fundraisers  ,Environment
Leisure,Fundraisers  ,Gun Control (Pro/Con)
Leisure,Fundraisers  ,Health – General
Leisure,Fundraisers  ,Hispanic
Leisure,Fundraisers  ,Homelessness & Housing
Leisure,Fundraisers  ,Human Rights
Leisure,Fundraisers  ,Human Services
Leisure,Fundraisers  ,Hunger
Leisure,Fundraisers  ,International Relief & Development
Leisure,Fundraisers  ,Jewish & Israel
Leisure,Fundraisers  ,Literacy
Leisure,Fundraisers  ,Mental Health & Retardation
Leisure,Fundraisers  ,Peace & International Relations
Leisure,Fundraisers  ,Politics
Leisure,Fundraisers  ,Population Planning
Leisure,Fundraisers  ,Public Policy
Leisure,Fundraisers  ,Senior Citizens
Leisure,Fundraisers  ,Terminally Or Chronically Ill
Leisure,Fundraisers  ,Veterans & Military
Leisure,Fundraisers  ,Women's Rights
Leisure,Fundraisers  ,Youth – Residential Care
Leisure,Fundraisers  ,Youth Development
Leisure,Literary  ,Adventure Novel
Leisure,Literary  ,Autobiography
Leisure,Literary  ,Biographies
Leisure,Literary  ,Children's Literature
Leisure,Literary  ,Comic Novel
Leisure,Literary  ,Conspiracy Fiction
Leisure,Literary  ,Crime Fiction
Leisure,Literary  ,Detective Fiction
Leisure,Literary  ,Drama Novel
Leisure,Literary  ,Easy To Read
Leisure,Literary  ,Essay
Leisure,Literary  ,Fables
Leisure,Literary  ,Fairytale
Leisure,Literary  ,Fantasy
Leisure,Literary  ,Folklore
Leisure,Literary  ,Folktales
Leisure,Literary  ,Gothic Fiction
Leisure,Literary  ,Historical Fiction
Leisure,Literary  ,Historical Romance
Leisure,Literary  ,Horror Fiction
Leisure,Literary  ,Journalism
Leisure,Literary  ,Legal Thriller
Leisure,Literary  ,Medical Novel
Leisure,Literary  ,Memoir
Leisure,Literary  ,Mystery
Leisure,Literary  ,Mystery Fiction
Leisure,Literary  ,Nonfiction Books
Leisure,Literary  ,Philosophical Novel
Leisure,Literary  ,Picture Books
Leisure,Literary  ,Poetry
Leisure,Literary  ,Political Fiction
Leisure,Literary  ,Psychological Thriller
Leisure,Literary  ,Realistic Fiction
Leisure,Literary  ,Romance Novel
Leisure,Literary  ,Saga
Leisure,Literary  ,Satire
Leisure,Literary  ,Science Fiction
Leisure,Literary  ,Short Story
Leisure,Literary  ,Slave Narrative
